 "'AS-IS'" 1 
 "A--a" 1 (L 895, off 1) 
 "could" 77 (L 161, off 53) (L 204, off 32) (L 263, off 50) (L 378, off 43) (L 483, off 30) (L 501, off 17) (L 542, off 14) (L 586, off 0) (L 814, off 65) (L 822, off 5) (L 833, off 0) (L 908, off 66) (L 964, off 5) (L 979, off 10) (L 1063, off 40) (L 1085, off 5) (L 1087, off 48) (L 1173, off 51) (L 1233, off 65) (L 1357, off 58) (L 1666, off 27) (L 1725, off 24) (L 1778, off 43) (L 1779, off 6) (L 1805, off 33) (L 1964, off 17) (L 2021, off 22) (L 2021, off 58) (L 2084, off 41) (L 2128, off 0) (L 2294, off 54) (L 2306, off 14) (L 2448, off 21) (L 2453, off 11) (L 2494, off 0) (L 2496, off 9) (L 2496, off 37) (L 2537, off 23) (L 2605, off 22) (L 2638, off 55) (L 2642, off 7) (L 2790, off 42) (L 2825, off 33) (L 2914, off 23) (L 3085, off 0) (L 3114, off 53) (L 3149, off 41) (L 3169, off 48) (L 3170, off 54) (L 3172, off 32) (L 3176, off 54) (L 3178, off 22) (L 3197, off 29) (L 3331, off 54) (L 3391, off 39) (L 3421, off 0) (L 3480, off 16) (L 3661, off 44) (L 3739, off 23) (L 3756, off 28) (L 3761, off 61) (L 3766, off 46) (L 3858, off 35) (L 3906, off 40) (L 3937, off 49) (L 3939, off 15) (L 3959, off 47) (L 3962, off 32) (L 4045, off 21) (L 4094, off 28) (L 4186, off 33) (L 4216, off 23) (L 4254, off 45) (L 4307, off 21) (L 4326, off 30) (L 4350, off 33) (L 4936, off 46) 
 "when" 78 (L 176, off 24) (L 199, off 38) (L 250, off 65) (L 259, off 20) (L 405, off 53) (L 455, off 40) (L 486, off 10) (L 632, off 45) (L 698, off 42) (L 789, off 66) (L 885, off 28) (L 975, off 4) (L 1013, off 12) (L 1031, off 59) (L 1064, off 18) (L 1232, off 39) (L 1310, off 44) (L 1332, off 60) (L 1429, off 37) (L 1485, off 32) (L 1489, off 54) (L 1511, off 9) (L 1547, off 17) (L 1556, off 36) (L 1638, off 12) (L 1691, off 16) (L 1773, off 62) (L 1785, off 27) (L 1990, off 0) (L 2012, off 0) (L 2083, off 49) (L 2143, off 42) (L 2184, off 41) (L 2197, off 65) (L 2246, off 29) (L 2298, off 17) (L 2336, off 44) (L 2370, off 57) (L 2406, off 4) (L 2572, off 57) (L 2663, off 61) (L 2692, off 20) (L 2749, off 53) (L 2798, off 37) (L 2805, off 38) (L 2822, off 32) (L 2882, off 55) (L 2951, off 28) (L 2959, off 33) (L 2967, off 65) (L 3046, off 59) (L 3095, off 64) (L 3110, off 29) (L 3237, off 46) (L 3245, off 4) (L 3267, off 13) (L 3283, off 38) (L 3363, off 33) (L 3425, off 6) (L 3473, off 52) (L 3511, off 40) (L 3624, off 49) (L 3628, off 61) (L 3681, off 5) (L 3810, off 7) (L 3812, off 20) (L 3861, off 20) (L 3939, off 35) (L 4027, off 10) (L 4037, off 38) (L 4070, off 31) (L 4219, off 42) (L 4259, off 67) (L 4356, off 31) (L 4420, off 5) (L 4423, off 13) (L 4439, off 31) (L 4677, off 21) 
 "Project" 83 (L 1, off 5) (L 6, off 33) (L 4591, off 11) (L 4612, off 25) (L 4613, off 57) (L 4631, off 15) (L 4633, off 58) (L 4634, off 64) (L 4639, off 52) (L 4642, off 43) (L 4647, off 14) (L 4648, off 57) (L 4653, off 7) (L 4656, off 33) (L 4658, off 64) (L 4660, off 40) (L 4663, off 10) (L 4664, off 61) (L 4670, off 53) (L 4671, off 59) (L 4673, off 15) (L 4674, off 31) (L 4676, off 60) (L 4684, off 58) (L 4689, off 48) (L 4692, off 20) (L 4693, off 23) (L 4694, off 8) (L 4694, off 62) (L 4700, off 33) (L 4703, off 25) (L 4708, off 17) (L 4711, off 0) (L 4714, off 25) (L 4718, off 7) (L 4721, off 51) (L 4723, off 39) (L 4728, off 58) (L 4734, off 23) (L 4736, off 23) (L 4740, off 50) (L 4744, off 40) (L 4748, off 26) (L 4752, off 16) (L 4754, off 30) (L 4756, off 5) (L 4760, off 17) (L 4762, off 9) (L 4766, off 45) (L 4770, off 5) (L 4778, off 21) (L 4780, off 52) (L 4783, off 9) (L 4784, off 23) (L 4789, off 8) (L 4791, off 36) (L 4792, off 36) (L 4801, off 60) (L 4802, off 56) (L 4803, off 59) (L 4842, off 20) (L 4844, off 30) (L 4847, off 51) (L 4849, off 0) (L 4852, off 46) (L 4854, off 0) (L 4861, off 47) (L 4862, off 28) (L 4863, off 63) (L 4865, off 25) (L 4866, off 24) (L 4871, off 34) (L 4874, off 4) (L 4879, off 52) (L 4897, off 47) (L 4900, off 0) (L 4926, off 17) (L 4932, off 38) (L 4935, off 51) (L 4937, off 60) (L 4941, off 0) (L 4951, off 41) (L 4952, off 39) 
 "one" 83 (L 213, off 42) (L 222, off 27) (L 237, off 66) (L 274, off 57) (L 304, off 37) (L 442, off 63) (L 502, off 44) (L 615, off 62) (L 672, off 13) (L 802, off 19) (L 838, off 11) (L 884, off 29) (L 907, off 10) (L 946, off 29) (L 1051, off 61) (L 1074, off 16) (L 1186, off 30) (L 1243, off 17) (L 1279, off 26) (L 1279, off 63) (L 1301, off 24) (L 1356, off 46) (L 1501, off 13) (L 1503, off 6) (L 1601, off 64) (L 1701, off 45) (L 1755, off 22) (L 1757, off 62) (L 1820, off 14) (L 1820, off 58) (L 1823, off 48) (L 1864, off 27) (L 1866, off 62) (L 1885, off 52) (L 1887, off 26) (L 1980, off 17) (L 1980, off 49) (L 2002, off 58) (L 2011, off 41) (L 2026, off 0) (L 2146, off 33) (L 2149, off 7) (L 2150, off 66) (L 2163, off 58) (L 2359, off 12) (L 2376, off 55) (L 2414, off 0) (L 2439, off 33) (L 2548, off 33) (L 2693, off 43) (L 2705, off 60) (L 3016, off 35) (L 3331, off 50) (L 3352, off 8) (L 3391, off 35) (L 3408, off 6) (L 3419, off 53) (L 3442, off 66) (L 3475, off 61) (L 3480, off 42) (L 3491, off 54) (L 3619, off 6) (L 3656, off 62) (L 3658, off 60) (L 3672, off 0) (L 3686, off 8) (L 3802, off 65) (L 3810, off 18) (L 3861, off 5) (L 3958, off 59) (L 3992, off 5) (L 4095, off 23) (L 4115, off 29) (L 4185, off 29) (L 4246, off 55) (L 4251, off 36) (L 4386, off 26) (L 4457, off 37) (L 4457, off 55) (L 4479, off 23) (L 4490, off 66) (L 4551, off 5) (L 4608, off 0) 
 "know" 84 (L 191, off 9) (L 212, off 16) (L 215, off 38) (L 285, off 55) (L 314, off 39) (L 429, off 36) (L 455, off 12) (L 571, off 46) (L 576, off 12) (L 580, off 12) (L 593, off 32) (L 600, off 43) (L 647, off 23) (L 707, off 31) (L 843, off 28) (L 942, off 3) (L 1020, off 36) (L 1057, off 35) (L 1064, off 26) (L 1153, off 15) (L 1166, off 11) (L 1209, off 64) (L 1211, off 8) (L 1250, off 35) (L 1260, off 27) (L 1326, off 45) (L 1342, off 45) (L 1362, off 66) (L 1376, off 57) (L 1390, off 55) (L 1431, off 51) (L 1475, off 12) (L 1509, off 14) (L 1614, off 9) (L 1622, off 40) (L 1630, off 22) (L 1696, off 28) (L 1737, off 3) (L 1742, off 44) (L 1764, off 47) (L 1765, off 19) (L 1828, off 8) (L 1832, off 12) (L 1832, off 44) (L 2028, off 9) (L 2090, off 64) (L 2201, off 7) (L 2242, off 9) (L 2259, off 35) (L 2278, off 31) (L 2366, off 8) (L 2368, off 15) (L 2377, off 21) (L 2440, off 46) (L 2555, off 42) (L 2564, off 7) (L 2620, off 10) (L 2622, off 37) (L 2705, off 46) (L 2963, off 19) (L 2999, off 23) (L 3090, off 40) (L 3140, off 9) (L 3367, off 65) (L 3371, off 59) (L 3454, off 28) (L 3494, off 23) (L 3642, off 37) (L 3706, off 43) (L 3710, off 60) (L 3741, off 64) (L 3809, off 67) (L 3812, off 7) (L 4013, off 15) (L 4037, off 9) (L 4253, off 9) (L 4278, off 9) (L 4298, off 46) (L 4368, off 17) (L 4392, off 9) (L 4499, off 9) (L 4501, off 10) (L 4516, off 12) (L 4918, off 47) 
 "chums" 86 (L 247, off 10) (L 262, off 23) (L 293, off 13) (L 349, off 17) (L 417, off 6) (L 434, off 38) (L 438, off 14) (L 443, off 39) (L 447, off 49) (L 482, off 20) (L 565, off 58) (L 593, off 16) (L 683, off 12) (L 710, off 60) (L 713, off 51) (L 725, off 0) (L 732, off 36) (L 776, off 22) (L 970, off 25) (L 997, off 38) (L 1014, off 24) (L 1076, off 58) (L 1080, off 8) (L 1146, off 25) (L 1274, off 62) (L 1311, off 46) (L 1365, off 53) (L 1423, off 21) (L 1486, off 66) (L 1517, off 21) (L 1527, off 61) (L 1547, off 33) (L 1645, off 32) (L 1714, off 58) (L 1779, off 49) (L 1799, off 0) (L 1814, off 14) (L 1825, off 60) (L 1937, off 25) (L 2015, off 52) (L 2144, off 15) (L 2350, off 24) (L 2381, off 4) (L 2399, off 23) (L 2412, off 17) (L 2421, off 37) (L 2456, off 22) (L 2475, off 48) (L 2501, off 51) (L 2508, off 31) (L 2520, off 36) (L 2605, off 53) (L 2634, off 14) (L 2639, off 51) (L 2728, off 53) (L 2733, off 51) (L 2805, off 57) (L 2817, off 14) (L 2844, off 14) (L 2871, off 30) (L 3035, off 26) (L 3105, off 14) (L 3245, off 62) (L 3355, off 20) (L 3363, off 14) (L 3388, off 21) (L 3399, off 56) (L 3408, off 0) (L 3443, off 7) (L 3474, off 0) (L 3504, off 19) (L 3514, off 11) (L 3584, off 27) (L 3604, off 52) (L 3661, off 38) (L 3791, off 35) (L 3856, off 61) (L 3861, off 35) (L 4092, off 6) (L 4122, off 16) (L 4135, off 14) (L 4298, off 32) (L 4326, off 24) (L 4368, off 65) (L 4396, off 51) (L 4542, off 55) 
 "what" 86 (L 193, off 61) (L 288, off 23) (L 336, off 5) (L 455, off 17) (L 472, off 8) (L 568, off 13) (L 583, off 0) (L 602, off 6) (L 604, off 62) (L 618, off 6) (L 620, off 49) (L 623, off 8) (L 663, off 8) (L 792, off 11) (L 806, off 10) (L 823, off 42) (L 836, off 61) (L 843, off 33) (L 882, off 5) (L 889, off 6) (L 922, off 27) (L 979, off 5) (L 995, off 26) (L 1098, off 38) (L 1190, off 20) (L 1210, off 58) (L 1211, off 34) (L 1286, off 42) (L 1287, off 20) (L 1303, off 15) (L 1316, off 8) (L 1365, off 7) (L 1525, off 19) (L 1546, off 58) (L 1553, off 52) (L 1609, off 5) (L 1615, off 0) (L 1630, off 8) (L 1692, off 8) (L 1737, off 8) (L 1843, off 8) (L 1949, off 0) (L 2079, off 8) (L 2197, off 8) (L 2265, off 49) (L 2284, off 52) (L 2443, off 36) (L 2478, off 11) (L 2482, off 6) (L 2499, off 14) (L 2504, off 4) (L 2587, off 62) (L 2615, off 19) (L 2669, off 5) (L 2759, off 5) (L 2781, off 21) (L 2820, off 27) (L 2875, off 35) (L 2876, off 45) (L 2882, off 42) (L 2921, off 17) (L 3075, off 19) (L 3077, off 26) (L 3197, off 0) (L 3233, off 43) (L 3296, off 31) (L 3466, off 66) (L 3630, off 0) (L 3804, off 3) (L 3834, off 41) (L 3895, off 15) (L 3960, off 0) (L 3964, off 14) (L 3985, off 6) (L 4006, off 13) (L 4013, off 20) (L 4170, off 32) (L 4175, off 32) (L 4242, off 12) (L 4249, off 9) (L 4253, off 14) (L 4260, off 23) (L 4325, off 32) (L 4456, off 19) (L 4465, off 46) (L 4680, off 0) 
 "will" 86 (L 166, off 21) (L 187, off 56) (L 191, off 41) (L 199, off 62) (L 203, off 19) (L 209, off 9) (L 228, off 33) (L 366, off 30) (L 385, off 20) (L 642, off 31) (L 792, off 66) (L 968, off 12) (L 988, off 33) (L 1026, off 17) (L 1031, off 4) (L 1262, off 49) (L 1283, off 4) (L 1394, off 5) (L 1404, off 22) (L 1415, off 16) (L 1421, off 23) (L 1479, off 32) (L 1688, off 10) (L 1756, off 48) (L 1908, off 26) (L 1910, off 0) (L 2029, off 52) (L 2195, off 20) (L 2229, off 6) (L 2290, off 47) (L 2551, off 29) (L 2551, off 48) (L 2577, off 13) (L 2577, off 47) (L 2578, off 55) (L 2584, off 9) (L 2612, off 7) (L 2668, off 17) (L 2669, off 39) (L 2682, off 36) (L 2695, off 17) (L 2713, off 22) (L 2770, off 17) (L 2832, off 23) (L 2834, off 13) (L 2858, off 23) (L 2874, off 46) (L 2887, off 62) (L 2888, off 49) (L 2891, off 60) (L 2953, off 4) (L 2959, off 62) (L 2963, off 14) (L 2963, off 57) (L 3014, off 5) (L 3103, off 8) (L 3318, off 0) (L 3519, off 36) (L 3693, off 16) (L 3895, off 55) (L 3900, off 58) (L 3911, off 54) (L 3913, off 15) (L 3972, off 60) (L 3976, off 3) (L 3980, off 60) (L 3987, off 46) (L 3996, off 46) (L 4095, off 34) (L 4150, off 29) (L 4156, off 51) (L 4174, off 60) (L 4190, off 16) (L 4232, off 26) (L 4344, off 66) (L 4375, off 47) (L 4415, off 10) (L 4477, off 27) (L 4478, off 54) (L 4535, off 0) (L 4597, off 49) (L 4604, off 17) (L 4605, off 0) (L 4671, off 42) (L 4717, off 57) (L 4862, off 60) 
 "get" 89 (L 180, off 68) (L 266, off 39) (L 302, off 25) (L 304, off 54) (L 324, off 9) (L 405, off 15) (L 451, off 61) (L 524, off 14) (L 638, off 66) (L 680, off 46) (L 699, off 54) (L 789, off 51) (L 796, off 22) (L 799, off 7) (L 1008, off 13) (L 1026, off 22) (L 1031, off 50) (L 1111, off 17) (L 1117, off 47) (L 1149, off 32) (L 1154, off 9) (L 1202, off 23) (L 1204, off 11) (L 1242, off 48) (L 1307, off 13) (L 1418, off 20) (L 1458, off 25) (L 1514, off 0) (L 1645, off 59) (L 1774, off 37) (L 1841, off 14) (L 1846, off 34) (L 1850, off 3) (L 1866, off 58) (L 1879, off 63) (L 2110, off 29) (L 2214, off 19) (L 2370, off 4) (L 2470, off 8) (L 2537, off 29) (L 2540, off 9) (L 2553, off 48) (L 2584, off 17) (L 2670, off 0) (L 2680, off 7) (L 2683, off 6) (L 2725, off 5) (L 2778, off 26) (L 2790, off 4) (L 2829, off 66) (L 2862, off 15) (L 2864, off 5) (L 2871, off 43) (L 2883, off 39) (L 3059, off 57) (L 3065, off 33) (L 3092, off 27) (L 3099, off 10) (L 3103, off 13) (L 3114, off 63) (L 3122, off 37) (L 3146, off 66) (L 3153, off 52) (L 3332, off 30) (L 3375, off 37) (L 3571, off 18) (L 3608, off 20) (L 3645, off 55) (L 3686, off 61) (L 3694, off 15) (L 3711, off 60) (L 3771, off 7) (L 3798, off 13) (L 3833, off 36) (L 3840, off 9) (L 3858, off 41) (L 3883, off 11) (L 3896, off 43) (L 3900, off 29) (L 3981, off 17) (L 3999, off 64) (L 4154, off 6) (L 4160, off 45) (L 4190, off 21) (L 4209, off 22) (L 4236, off 59) (L 4392, off 51) (L 4475, off 10) (L 4511, off 60) 
 "going" 92 (L 230, off 14) (L 296, off 15) (L 299, off 51) (L 317, off 20) (L 369, off 12) (L 458, off 0) (L 467, off 9) (L 467, off 34) (L 488, off 10) (L 523, off 14) (L 638, off 57) (L 658, off 23) (L 659, off 60) (L 666, off 0) (L 669, off 0) (L 700, off 54) (L 703, off 5) (L 729, off 42) (L 738, off 39) (L 755, off 33) (L 809, off 40) (L 1008, off 4) (L 1028, off 49) (L 1119, off 66) (L 1161, off 22) (L 1274, off 13) (L 1316, off 25) (L 1345, off 0) (L 1360, off 5) (L 1398, off 58) (L 1420, off 13) (L 1513, off 63) (L 1532, off 10) (L 1609, off 28) (L 1630, off 39) (L 1645, off 43) (L 1654, off 56) (L 1689, off 0) (L 1698, off 53) (L 1840, off 47) (L 1854, off 0) (L 1866, off 49) (L 1867, off 54) (L 1986, off 37) (L 2006, off 31) (L 2021, off 4) (L 2093, off 14) (L 2265, off 61) (L 2431, off 13) (L 2438, off 58) (L 2475, off 5) (L 2629, off 19) (L 2666, off 52) (L 2696, off 34) (L 2706, off 0) (L 2716, off 0) (L 2774, off 19) (L 2916, off 37) (L 2929, off 8) (L 2939, off 8) (L 2998, off 49) (L 3109, off 26) (L 3110, off 48) (L 3146, off 46) (L 3161, off 42) (L 3272, off 61) (L 3313, off 51) (L 3332, off 21) (L 3496, off 56) (L 3658, off 20) (L 3685, off 59) (L 3690, off 61) (L 3711, off 5) (L 3834, off 50) (L 3844, off 54) (L 3852, off 47) (L 3935, off 14) (L 3937, off 29) (L 3977, off 18) (L 4118, off 17) (L 4219, off 8) (L 4223, off 7) (L 4228, off 28) (L 4357, off 38) (L 4358, off 49) (L 4393, off 41) (L 4472, off 62) (L 4529, off 46) (L 4547, off 35) (L 4553, off 10) (L 4580, off 22) (L 4581, off 22) 
 "Traddle" 94 (L 777, off 62) (L 801, off 60) (L 802, off 34) (L 809, off 18) (L 813, off 52) (L 819, off 5) (L 821, off 57) (L 826, off 5) (L 832, off 56) (L 841, off 60) (L 849, off 21) (L 1415, off 52) (L 1418, off 36) (L 1454, off 21) (L 1462, off 37) (L 1470, off 5) (L 1473, off 14) (L 1485, off 5) (L 1489, off 46) (L 1505, off 32) (L 1509, off 41) (L 1515, off 5) (L 1522, off 26) (L 1556, off 53) (L 1560, off 20) (L 1563, off 43) (L 1568, off 52) (L 1582, off 18) (L 1585, off 23) (L 1596, off 57) (L 1602, off 51) (L 1611, off 41) (L 1614, off 45) (L 1618, off 37) (L 1658, off 15) (L 1661, off 33) (L 1666, off 19) (L 1674, off 54) (L 1680, off 24) (L 1692, off 34) (L 1701, off 5) (L 1715, off 19) (L 1731, off 0) (L 1770, off 44) (L 1899, off 34) (L 2505, off 42) (L 2533, off 43) (L 2706, off 30) (L 2710, off 16) (L 2725, off 30) (L 2732, off 43) (L 2778, off 51) (L 2781, off 31) (L 2795, off 27) (L 2798, off 13) (L 2818, off 13) (L 2826, off 32) (L 2845, off 0) (L 2848, off 5) (L 2850, off 55) (L 2927, off 18) (L 2978, off 25) (L 2989, off 47) (L 3005, off 63) (L 3012, off 13) (L 3031, off 62) (L 3037, off 5) (L 3043, off 62) (L 3046, off 19) (L 3049, off 52) (L 3054, off 28) (L 3059, off 34) (L 3063, off 18) (L 3067, off 30) (L 3082, off 26) (L 3090, off 5) (L 3094, off 37) (L 3110, off 0) (L 3125, off 28) (L 3131, off 19) (L 3138, off 0) (L 3163, off 5) (L 3168, off 35) (L 3182, off 16) (L 3195, off 33) (L 3198, off 24) (L 3236, off 12) (L 3240, off 10) (L 3298, off 5) (L 3306, off 16) (L 3310, off 43) (L 3360, off 47) (L 4016, off 16) (L 4529, off 35) 
 "Lucy" 95 (L 294, off 14) (L 304, off 26) (L 308, off 33) (L 321, off 42) (L 327, off 0) (L 714, off 9) (L 724, off 5) (L 733, off 9) (L 736, off 36) (L 742, off 32) (L 746, off 48) (L 749, off 0) (L 750, off 10) (L 755, off 9) (L 758, off 5) (L 769, off 20) (L 779, off 43) (L 792, off 35) (L 799, off 34) (L 808, off 14) (L 809, off 62) (L 818, off 29) (L 821, off 40) (L 836, off 52) (L 844, off 55) (L 849, off 34) (L 858, off 29) (L 867, off 37) (L 871, off 12) (L 878, off 15) (L 889, off 13) (L 893, off 30) (L 899, off 0) (L 904, off 15) (L 907, off 0) (L 921, off 18) (L 927, off 22) (L 937, off 42) (L 942, off 19) (L 950, off 59) (L 956, off 23) (L 961, off 0) (L 968, off 25) (L 977, off 9) (L 1063, off 11) (L 1064, off 51) (L 1066, off 11) (L 1083, off 25) (L 1102, off 45) (L 1131, off 23) (L 1300, off 51) (L 1307, off 42) (L 1314, off 26) (L 1372, off 33) (L 1398, off 23) (L 1427, off 21) (L 1478, off 48) (L 1524, off 11) (L 1583, off 4) (L 1606, off 48) (L 1624, off 21) (L 1640, off 18) (L 1644, off 56) (L 1683, off 10) (L 2113, off 34) (L 2120, off 8) (L 2130, off 63) (L 2136, off 38) (L 2148, off 11) (L 2163, off 42) (L 2164, off 21) (L 2178, off 20) (L 2179, off 43) (L 2184, off 36) (L 2190, off 33) (L 2197, off 30) (L 2210, off 28) (L 2223, off 35) (L 2229, off 40) (L 2234, off 54) (L 2238, off 35) (L 2242, off 58) (L 2249, off 34) (L 2253, off 26) (L 2262, off 25) (L 2270, off 58) (L 2280, off 38) (L 2283, off 46) (L 2293, off 30) (L 2323, off 41) (L 2328, off 37) (L 2334, off 37) (L 2341, off 40) (L 2347, off 55) (L 3398, off 16) 
 "any" 95 (L 300, off 25) (L 317, off 32) (L 446, off 52) (L 523, off 61) (L 588, off 27) (L 653, off 67) (L 693, off 15) (L 703, off 58) (L 765, off 12) (L 788, off 28) (L 1035, off 7) (L 1046, off 24) (L 1188, off 13) (L 1201, off 37) (L 1208, off 9) (L 1208, off 59) (L 1239, off 23) (L 1264, off 13) (L 1291, off 62) (L 1593, off 58) (L 1627, off 35) (L 1675, off 13) (L 1725, off 8) (L 1840, off 13) (L 1850, off 54) (L 1854, off 6) (L 1908, off 56) (L 1921, off 19) (L 2028, off 42) (L 2097, off 0) (L 2277, off 46) (L 2297, off 47) (L 2357, off 10) (L 2399, off 12) (L 2399, off 66) (L 2571, off 54) (L 2578, off 23) (L 2620, off 18) (L 2656, off 34) (L 2666, off 32) (L 2690, off 33) (L 2975, off 5) (L 3144, off 29) (L 3165, off 13) (L 3186, off 21) (L 3298, off 65) (L 3375, off 8) (L 3558, off 32) (L 3617, off 39) (L 3798, off 17) (L 3820, off 22) (L 3831, off 3) (L 3890, off 12) (L 4026, off 54) (L 4039, off 29) (L 4124, off 48) (L 4244, off 42) (L 4460, off 15) (L 4514, off 13) (L 4516, off 55) (L 4520, off 19) (L 4529, off 20) (L 4617, off 55) (L 4633, off 4) (L 4633, off 33) (L 4642, off 26) (L 4654, off 25) (L 4684, off 48) (L 4686, off 24) (L 4686, off 36) (L 4693, off 9) (L 4693, off 50) (L 4706, off 62) (L 4716, off 57) (L 4722, off 33) (L 4723, off 8) (L 4726, off 20) (L 4731, off 55) (L 4732, off 69) (L 4744, off 36) (L 4764, off 31) (L 4772, off 68) (L 4803, off 28) (L 4816, off 34) (L 4834, off 3) (L 4837, off 65) (L 4841, off 17) (L 4843, off 25) (L 4846, off 39) (L 4847, off 47) (L 4848, off 65) (L 4849, off 35) (L 4914, off 57) (L 4923, off 0) (L 4944, off 31) 
 "And" 96 (L 198, off 1) (L 222, off 1) (L 270, off 1) (L 304, off 33) (L 336, off 1) (L 578, off 47) (L 588, off 1) (L 609, off 36) (L 632, off 41) (L 642, off 1) (L 646, off 54) (L 665, off 1) (L 680, off 29) (L 729, off 34) (L 755, off 47) (L 789, off 62) (L 872, off 63) (L 951, off 25) (L 980, off 41) (L 1006, off 44) (L 1055, off 1) (L 1071, off 1) (L 1073, off 1) (L 1095, off 1) (L 1102, off 1) (L 1131, off 1) (L 1161, off 1) (L 1211, off 30) (L 1214, off 63) (L 1218, off 1) (L 1225, off 31) (L 1227, off 1) (L 1229, off 59) (L 1254, off 1) (L 1307, off 1) (L 1374, off 40) (L 1387, off 45) (L 1404, off 1) (L 1479, off 1) (L 1486, off 48) (L 1503, off 36) (L 1517, off 0) (L 1742, off 25) (L 1859, off 1) (L 1985, off 1) (L 2044, off 45) (L 2090, off 57) (L 2200, off 1) (L 2218, off 6) (L 2250, off 1) (L 2277, off 29) (L 2303, off 10) (L 2344, off 22) (L 2396, off 61) (L 2493, off 15) (L 2496, off 1) (L 2520, off 28) (L 2573, off 9) (L 2584, off 1) (L 2587, off 57) (L 2622, off 1) (L 2708, off 22) (L 2745, off 66) (L 2798, off 33) (L 2864, off 1) (L 3016, off 31) (L 3254, off 28) (L 3277, off 1) (L 3290, off 1) (L 3354, off 0) (L 3370, off 29) (L 3415, off 17) (L 3473, off 1) (L 3480, off 61) (L 3496, off 45) (L 3657, off 68) (L 3741, off 1) (L 3797, off 39) (L 3801, off 65) (L 3812, off 1) (L 3935, off 1) (L 3992, off 1) (L 4026, off 35) (L 4058, off 1) (L 4061, off 25) (L 4064, off 65) (L 4100, off 1) (L 4156, off 1) (L 4282, off 48) (L 4360, off 39) (L 4396, off 28) (L 4423, off 9) (L 4446, off 56) (L 4528, off 51) (L 4533, off 52) (L 4550, off 38) 
 "there" 96 (L 167, off 30) (L 195, off 10) (L 228, off 14) (L 317, off 7) (L 331, off 32) (L 402, off 33) (L 408, off 38) (L 463, off 19) (L 481, off 27) (L 499, off 42) (L 585, off 22) (L 672, off 4) (L 706, off 5) (L 710, off 20) (L 729, off 48) (L 765, off 3) (L 789, off 55) (L 813, off 10) (L 931, off 23) (L 963, off 12) (L 981, off 21) (L 981, off 39) (L 1045, off 47) (L 1046, off 39) (L 1092, off 14) (L 1136, off 12) (L 1218, off 28) (L 1227, off 64) (L 1239, off 5) (L 1241, off 47) (L 1272, off 14) (L 1299, off 23) (L 1310, off 27) (L 1344, off 19) (L 1377, off 13) (L 1406, off 20) (L 1568, off 20) (L 1596, off 32) (L 1622, off 4) (L 1696, off 50) (L 1705, off 39) (L 1821, off 63) (L 1853, off 7) (L 1866, off 0) (L 1879, off 53) (L 1886, off 37) (L 1886, off 56) (L 1890, off 10) (L 1936, off 19) (L 1980, off 6) (L 1980, off 21) (L 1997, off 45) (L 2006, off 54) (L 2009, off 6) (L 2011, off 28) (L 2025, off 12) (L 2029, off 46) (L 2123, off 14) (L 2127, off 19) (L 2197, off 59) (L 2236, off 12) (L 2277, off 33) (L 2668, off 11) (L 2690, off 18) (L 2693, off 28) (L 2695, off 11) (L 2708, off 15) (L 2708, off 41) (L 2871, off 57) (L 2929, off 17) (L 3017, off 38) (L 3115, off 23) (L 3165, off 4) (L 3167, off 5) (L 3195, off 17) (L 3208, off 9) (L 3319, off 12) (L 3338, off 5) (L 3354, off 31) (L 3381, off 19) (L 3466, off 35) (L 3535, off 36) (L 3687, off 0) (L 3691, off 5) (L 3749, off 17) (L 3952, off 64) (L 3956, off 45) (L 4000, off 0) (L 4021, off 5) (L 4024, off 6) (L 4091, off 14) (L 4341, off 34) (L 4478, off 44) (L 4514, off 41) (L 4536, off 0) (L 4553, off 4) 
