 "'AS-IS'" 1 
 "--bootlegging" 1 (L 378, off 50) 
 "afraid" 2 (L 984, off 5) (L 1331, off 9) 
 "air" 2 (L 995, off 50) (L 998, off 24) 
 "alive" 2 (L 853, off 59) (L 1377, off 44) 
 "along" 2 (L 298, off 9) (L 558, off 42) 
 "ambulance" 2 (L 1285, off 0) (L 1285, off 24) 
 "ancestors" 2 (L 1074, off 46) (L 1120, off 36) 
 "anger" 2 (L 741, off 15) (L 1088, off 19) 
 "angle" 2 (L 370, off 45) (L 384, off 26) 
 "angrily" 2 (L 554, off 17) (L 934, off 45) 
 "announced" 2 (L 699, off 22) (L 1141, off 46) 
 "anywhere" 2 (L 3, off 36) (L 1508, off 38) 
 "apparently" 2 (L 382, off 0) (L 968, off 58) 
 "appear" 2 (L 508, off 32) (L 1502, off 64) 
 "appeared" 2 (L 1072, off 48) (L 1347, off 47) 
 "appreciate" 2 (L 285, off 0) (L 1385, off 35) 
 "approach" 2 (L 1131, off 11) (L 1732, off 0) 
 "areas" 2 (L 888, off 63) (L 1097, off 26) 
 "argument" 2 (L 1302, off 21) (L 1335, off 0) 
 "asking" 2 (L 407, off 9) (L 1328, off 6) 
 "aspects" 2 (L 585, off 26) (L 1317, off 62) 
 "assist" 2 (L 705, off 58) (L 984, off 25) 
 "assume" 2 (L 817, off 10) (L 883, off 33) 
 "attached" 2 (L 1157, off 4) (L 1486, off 21) 
 "attempt" 2 (L 104, off 12) (L 568, off 62) 
 "available" 2 (L 1444, off 29) (L 1678, off 14) 
 "bailiff" 2 (L 112, off 36) (L 458, off 22) 
 "becoming" 2 (L 587, off 56) (L 920, off 11) 
 "bed" 2 (L 277, off 42) (L 498, off 16) 
 "begin" 2 (L 517, off 37) (L 611, off 54) 
 "beginning" 2 (L 860, off 0) (L 1533, off 0) 
 "bench" 2 (L 742, off 22) (L 1020, off 12) 
 "better" 2 (L 281, off 10) (L 991, off 19) 
 "bewildered" 2 (L 117, off 26) (L 1032, off 37) 
 "bewilderment" 2 (L 1212, off 16) (L 1266, off 59) 
 "beyond" 2 (L 1037, off 22) (L 1286, off 20) 
 "billion" 2 (L 977, off 9) (L 1299, off 32) 
 "biological" 2 (L 784, off 6) (L 793, off 30) 
 "birth" 2 (L 69, off 0) (L 385, off 29) 
 "bit" 2 (L 150, off 60) (L 665, off 16) 
 "blind" 2 (L 1068, off 58) (L 1274, off 10) 
 "blinking" 2 (L 165, off 32) (L 342, off 47) 
 "block" 2 (L 1165, off 24) (L 1250, off 12) 
 "blue" 2 (L 435, off 20) (L 1140, off 66) 
 "born" 2 (L 584, off 33) (L 1201, off 16) 
 "bound" 2 (L 1457, off 64) (L 1464, off 12) 
 "boy" 2 (L 443, off 59) (L 444, off 50) 
 "bring" 2 (L 827, off 54) (L 1345, off 23) 
 "brushed" 2 (L 210, off 50) (L 1192, off 18) 
 "build-up" 2 (L 292, off 7) (L 292, off 27) 
 "button" 2 (L 1373, off 0) (L 1396, off 17) 
 "calculated" 2 (L 291, off 19) (L 1566, off 40) 
 "carry" 2 (L 1296, off 20) (L 1713, off 39) 
 "cases" 2 (L 411, off 31) (L 706, off 25) 
 "cause" 2 (L 1662, off 30) (L 1665, off 11) 
 "changed" 2 (L 969, off 0) (L 1369, off 64) 
 "chest" 2 (L 906, off 36) (L 908, off 0) 
 "chew" 2 (L 100, off 11) (L 1087, off 32) 
 "close" 2 (L 516, off 7) (L 1153, off 8) 
 "coming" 2 (L 464, off 40) (L 500, off 0) 
 "commentator" 2 (L 374, off 8) (L 504, off 11) 
 "committed" 2 (L 1210, off 15) (L 1720, off 18) 
 "compare" 2 (L 725, off 17) (L 808, off 9) 
 "completed" 2 (L 517, off 0) (L 1134, off 0) 
 "complex" 2 (L 1260, off 35) (L 1385, off 57) 
 "computer" 2 (L 1611, off 16) (L 1611, off 35) 
 "computers" 2 (L 1671, off 0) (L 1671, off 55) 
 "concerning" 2 (L 1496, off 16) (L 1735, off 15) 
 "connection" 2 (L 352, off 57) (L 376, off 0) 
 "considerable" 2 (L 1603, off 57) (L 1723, off 0) 
 "constant" 2 (L 1193, off 15) (L 1491, off 5) 
 "contain" 2 (L 1518, off 0) (L 1608, off 0) 
 "contemplating" 2 (L 580, off 13) (L 684, off 53) 
 "continues" 2 (L 1076, off 4) (L 1300, off 0) 
 "copied" 2 (L 1506, off 19) (L 1519, off 35) 
 "corneas" 2 (L 949, off 30) (L 954, off 36) 
 "correct" 2 (L 712, off 9) (L 971, off 43) 
 "costs" 2 (L 1619, off 30) (L 1660, off 47) 
 "crack" 2 (L 297, off 0) (L 305, off 16) 
 "crank" 2 (L 442, off 23) (L 445, off 25) 
 "creature" 2 (L 1045, off 9) (L 1069, off 11) 
 "credit" 2 (L 483, off 30) (L 1740, off 43) 
 "curly" 2 (L 127, off 31) (L 1191, off 35) 
 "damage" 2 (L 755, off 14) (L 1611, off 55) 
 "damages" 2 (L 1619, off 21) (L 1648, off 0) 
 "damn" 2 (L 175, off 18) (L 530, off 0) 
 "deepest" 2 (L 585, off 18) (L 1344, off 0) 
 "deeply" 2 (L 185, off 46) (L 281, off 36) 
 "defect" 2 (L 1587, off 56) (L 1629, off 0) 
 "defined" 2 (L 993, off 0) (L 1072, off 29) 
 "definition" 2 (L 980, off 7) (L 991, off 26) 
 "deliver" 2 (L 575, off 3) (L 1313, off 47) 
 "demonstrated" 2 (L 446, off 52) (L 851, off 0) 
 "denoting" 2 (L 1164, off 15) (L 1164, off 57) 
 "depends" 2 (L 1129, off 18) (L 1712, off 21) 
 "deputies" 2 (L 363, off 34) (L 513, off 17) 
 "destroy" 2 (L 1455, off 0) (L 1581, off 53) 
 "detector" 2 (L 1152, off 16) (L 1177, off 25) 
 "died" 2 (L 189, off 32) (L 584, off 4) 
 "direct" 2 (L 888, off 13) (L 962, off 31) 
 "direction" 2 (L 860, off 22) (L 1152, off 54) 
 "disclaimer" 2 (L 1648, off 16) (L 1650, off 51) 
 "discuss" 2 (L 183, off 0) (L 247, off 9) 
 "distinguished" 2 (L 642, off 10) (L 992, off 2) 
 "dollar" 2 (L 101, off 9) (L 1299, off 40) 
 "domain" 2 (L 1475, off 42) (L 1714, off 32) 
 "dots" 2 (L 875, off 17) (L 876, off 12) 
 "draw" 2 (L 934, off 63) (L 1303, off 20) 
 "dropped" 2 (L 678, off 37) (L 1250, off 56) 
 "earlier" 2 (L 62, off 8) (L 992, off 33) 
 "easily" 2 (L 1163, off 4) (L 1484, off 60) 
 "ebook" 2 (L 9, off 5) (L 1514, off 32) 
 "eight" 2 (L 873, off 49) (L 1013, off 14) 
 "either" 2 (L 794, off 0) (L 1523, off 0) 
 "electronically" 2 (L 1635, off 43) (L 1637, off 32) 
 "emotional" 2 (L 1167, off 0) (L 1335, off 29) 
 "employees" 2 (L 1603, off 40) (L 1697, off 15) 
 "entirely" 2 (L 815, off 22) (L 852, off 18) 
 "establish" 2 (L 789, off 0) (L 839, off 3) 
 "evening" 2 (L 369, off 8) (L 517, off 49) 
 "every" 2 (L 436, off 0) (L 1034, off 28) 
 "evolution" 2 (L 1071, off 31) (L 1072, off 58) 
 "exempt" 2 (L 1689, off 37) (L 1717, off 61) 
 "exist" 2 (L 1361, off 0) (L 1361, off 62) 
 "exists" 2 (L 1340, off 7) (L 1672, off 0) 
 "expect" 2 (L 357, off 8) (L 477, off 22) 
 "expenses" 2 (L 1619, off 40) (L 1660, off 57) 
 "explain" 2 (L 750, off 17) (L 1162, off 48) 
 "explanation" 2 (L 1631, off 8) (L 1633, off 18) 
 "expression" 2 (L 930, off 58) (L 1102, off 32) 
 "extent" 2 (L 762, off 5) (L 1692, off 50) 
 "faded" 2 (L 469, off 0) (L 1369, off 9) 
 "fast" 2 (L 1154, off 25) (L 1165, off 31) 
 "federal" 2 (L 1690, off 41) (L 1693, off 5) 
 "file" 2 (L 1407, off 11) (L 1444, off 49) 
 "files" 2 (L 1408, off 24) (L 1536, off 37) 
 "fine" 2 (L 260, off 17) (L 260, off 28) 
 "finger" 2 (L 348, off 16) (L 910, off 0) 
 "fingers" 2 (L 442, off 44) (L 1371, off 39) 
 "firmly" 2 (L 667, off 0) (L 1280, off 9) 
 "food" 2 (L 388, off 23) (L 995, off 41) 
 "forget" 2 (L 284, off 13) (L 569, off 39) 
 "formats" 2 (L 1408, off 41) (L 1670, off 20) 
 "frantic" 2 (L 1255, off 0) (L 1382, off 0) 
 "frequently" 2 (L 488, off 15) (L 1115, off 25) 
 "friends" 2 (L 396, off 0) (L 1397, off 0) 
 "fully" 2 (L 591, off 10) (L 1272, off 63) 
 "game" 2 (L 170, off 19) (L 589, off 0) 
 "gasp" 2 (L 361, off 0) (L 999, off 19) 
 "gate" 2 (L 113, off 0) (L 133, off 18) 
 "gesture" 2 (L 211, off 18) (L 349, off 0) 
 "glad" 2 (L 275, off 9) (L 469, off 29) 
 "grown" 2 (L 318, off 39) (L 975, off 50) 
 "half" 2 (L 67, off 21) (L 513, off 33) 
 "handed" 2 (L 715, off 21) (L 721, off 37) 
 "hard" 2 (L 359, off 66) (L 499, off 19) 
 "hear" 2 (L 63, off 0) (L 1763, off 37) 
 "helluva" 2 (L 205, off 49) (L 206, off 2) 
 "hesitated" 2 (L 666, off 17) (L 964, off 14) 
 "high" 2 (L 254, off 23) (L 821, off 50) 
 "hold" 2 (L 1337, off 26) (L 1655, off 46) 
 "hoodlum" 2 (L 103, off 30) (L 1040, off 49) 
 "house" 2 (L 1358, off 44) (L 1359, off 12) 
 "humanities" 2 (L 585, off 50) (L 1391, off 33) 
 "hundred" 2 (L 57, off 0) (L 479, off 4) 
 "immediate" 2 (L 1502, off 0) (L 1542, off 16) 
 "immediately" 2 (L 349, off 43) (L 1309, off 60) 
 "increasing" 2 (L 1117, off 0) (L 1714, off 0) 
 "indeed" 2 (L 384, off 6) (L 829, off 40) 
 "industry" 2 (L 973, off 0) (L 1299, off 47) 
 "infinite" 2 (L 1060, off 44) (L 1262, off 56) 
 "injuries" 2 (L 754, off 23) (L 762, off 31) 
 "innuendo" 2 (L 374, off 45) (L 374, off 57) 
 "intellectual" 2 (L 1452, off 45) (L 1610, off 0) 
 "interest" 2 (L 382, off 24) (L 776, off 46) 
 "intrigued" 2 (L 253, off 32) (L 849, off 0) 
 "intuitive" 2 (L 1078, off 38) (L 1081, off 30) 
 "irregular" 2 (L 1170, off 39) (L 1176, off 25) 
 "isn't" 2 (L 240, off 12) (L 866, off 22) 
 "jail" 2 (L 295, off 31) (L 381, off 43) 
 "judge" 2 (L 470, off 51) (L 601, off 15) 
 "juvenile" 2 (L 376, off 46) (L 840, off 23) 
 "keeping" 2 (L 1483, off 57) (L 1485, off 43) 
 "kept" 2 (L 597, off 43) (L 1031, off 60) 
 "killed" 2 (L 103, off 46) (L 1231, off 0) 
 "killer" 2 (L 44, off 43) (L 571, off 40) 
 "knowing" 2 (L 130, off 20) (L 481, off 0) 
 "knows" 2 (L 757, off 8) (L 761, off 31) 
 "lap" 2 (L 1194, off 15) (L 1241, off 54) 
 "large" 2 (L 665, off 66) (L 850, off 45) 
 "lead" 2 (L 177, off 35) (L 695, off 9) 
 "letter" 2 (L 1322, off 61) (L 1325, off 45) 
 "liability" 2 (L 1619, off 0) (L 1660, off 36) 
 "lie" 2 (L 1152, off 12) (L 1177, off 21) 
 "lieu" 2 (L 1635, off 0) (L 1637, off 50) 
 "light" 2 (L 386, off 16) (L 1370, off 45) 
 "limited" 2 (L 1608, off 36) (L 1641, off 22) 
 "lives" 2 (L 1358, off 63) (L 1361, off 44) 
 "living" 2 (L 1329, off 40) (L 1339, off 24) 
 "locations" 2 (L 1698, off 0) (L 1724, off 56) 
 "locked" 2 (L 1242, off 0) (L 1376, off 37) 
 "looking" 2 (L 703, off 51) (L 986, off 13) 
 "lowered" 2 (L 434, off 5) (L 969, off 21) 
 "main" 2 (L 995, off 7) (L 1757, off 48) 
 "major" 2 (L 594, off 64) (L 706, off 10) 
 "making" 2 (L 1171, off 25) (L 1337, off 6) 
 "manner" 2 (L 381, off 6) (L 1208, off 22) 
 "marked" 2 (L 1546, off 12) (L 1573, off 29) 
 "meaning" 2 (L 1344, off 19) (L 1383, off 0) 
 "meet" 2 (L 289, off 43) (L 1723, off 53) 
 "memories" 2 (L 451, off 18) (L 519, off 17) 
 "men" 2 (L 298, off 24) (L 1034, off 58) 
 "merely" 2 (L 1179, off 23) (L 1260, off 16) 
 "meticulously" 2 (L 478, off 46) (L 796, off 5) 
 "mildly" 2 (L 95, off 23) (L 759, off 25) 
 "mines" 2 (L 444, off 9) (L 444, off 33) 
 "modern" 2 (L 708, off 56) (L 1163, off 35) 
 "motioned" 2 (L 363, off 18) (L 611, off 17) 
 "mystery" 2 (L 269, off 48) (L 1122, off 0) 
 "named" 2 (L 452, off 58) (L 1407, off 26) 
 "natural" 2 (L 890, off 0) (L 1068, off 64) 
 "near" 2 (L 830, off 60) (L 1301, off 15) 
 "nervous" 2 (L 71, off 54) (L 627, off 26) 
 "nervously" 2 (L 481, off 56) (L 1191, off 10) 
 "net" 2 (L 28, off 49) (L 1412, off 49) 
 "nor" 2 (L 352, off 42) (L 1304, off 36) 
 "note" 2 (L 462, off 14) (L 652, off 32) 
 "notice" 2 (L 1518, off 10) (L 1753, off 28) 
 "o'clock" 2 (L 439, off 17) (L 518, off 23) 
 "observed" 2 (L 650, off 14) (L 1009, off 36) 
 "obtaining" 2 (L 1456, off 34) (L 1553, off 3) 
 "often" 2 (L 149, off 0) (L 1751, off 32) 
 "original" 2 (L 1095, off 40) (L 1553, off 53) 
 "owns" 2 (L 1419, off 22) (L 1473, off 23) 
 "pace" 2 (L 476, off 46) (L 597, off 48) 
 "page" 2 (L 1683, off 48) (L 1701, off 9) 
 "painstakingly" 2 (L 472, off 0) (L 1235, off 37) 
 "pale" 2 (L 622, off 15) (L 1148, off 17) 
 "paradox" 2 (L 42, off 42) (L 1038, off 58) 
 "particularly" 2 (L 234, off 5) (L 1717, off 19) 
 "patient" 2 (L 1114, off 47) (L 1131, off 27) 
 "patiently" 2 (L 89, off 12) (L 451, off 57) 
 "perfection" 2 (L 128, off 32) (L 328, off 9) 
 "perform" 2 (L 1098, off 55) (L 1539, off 29) 
 "permitted" 2 (L 1651, off 11) (L 1692, off 57) 
 "pgdp" 2 (L 28, off 44) (L 1412, off 44) 
 "philosophers" 2 (L 508, off 16) (L 1031, off 43) 
 "photostatic" 2 (L 715, off 0) (L 725, off 38) 
 "phrased" 2 (L 73, off 36) (L 83, off 25) 
 "physical" 2 (L 1582, off 37) (L 1632, off 23) 
 "plea" 2 (L 540, off 35) (L 1314, off 0) 
 "pointed" 2 (L 622, off 0) (L 636, off 0) 
 "positive" 2 (L 648, off 31) (L 709, off 43) 
 "preparations" 2 (L 494, off 0) (L 1190, off 6) 
 "prepare" 2 (L 1571, off 50) (L 1572, off 22) 
 "presentation" 2 (L 612, off 0) (L 697, off 0) 
 "presented" 2 (L 1293, off 15) (L 1297, off 13) 
 "pressed" 2 (L 186, off 0) (L 680, off 27) 
 "pressure" 2 (L 1166, off 14) (L 1249, off 52) 
 "priest" 2 (L 966, off 30) (L 1225, off 37) 
 "printed" 2 (L 1430, off 52) (L 1751, off 59) 
 "prison" 2 (L 1285, off 43) (L 1359, off 28) 
 "problems" 2 (L 387, off 47) (L 1110, off 27) 
 "proceeded" 2 (L 476, off 22) (L 481, off 46) 
 "progress" 2 (L 597, off 62) (L 1180, off 17) 
 "prominently" 2 (L 1503, off 0) (L 1541, off 0) 
 "promoting" 2 (L 1440, off 47) (L 1481, off 58) 
 "property" 2 (L 1452, off 58) (L 1610, off 13) 
 "prospective" 2 (L 53, off 18) (L 78, off 4) 
 "protect" 2 (L 1424, off 33) (L 1440, off 3) 
 "puffy" 2 (L 129, off 30) (L 1192, off 63) 
 "punishment" 2 (L 483, off 8) (L 1280, off 59) 
 "quickly" 2 (L 704, off 10) (L 735, off 59) 
 "radiographies" 2 (L 837, off 52) (L 843, off 27) 
 "rational" 2 (L 1078, off 25) (L 1080, off 52) 
 "re-use" 2 (L 5, off 46) (L 1510, off 60) 
 "reaction" 2 (L 784, off 17) (L 793, off 41) 
 "reactions" 2 (L 1052, off 0) (L 1189, off 15) 
 "readable" 2 (L 1670, off 28) (L 1715, off 30) 
 "reading" 2 (L 382, off 36) (L 1450, off 8) 
 "ready" 2 (L 289, off 34) (L 517, off 28) 
 "real" 2 (L 1094, off 66) (L 1359, off 43) 
 "realities" 2 (L 1046, off 13) (L 1047, off 8) 
 "reasonable" 2 (L 1286, off 31) (L 1561, off 24) 
 "receipt" 2 (L 1579, off 50) (L 1589, off 2) 
 "reconvened" 2 (L 457, off 11) (L 1030, off 11) 
 "references" 2 (L 1480, off 4) (L 1499, off 33) 
 "regard" 2 (L 1130, off 14) (L 1357, off 26) 
 "regarded" 2 (L 709, off 22) (L 764, off 62) 
 "relevant" 2 (L 771, off 12) (L 1043, off 49) 
 "remember" 2 (L 1216, off 8) (L 1223, off 0) 
 "removed" 2 (L 1480, off 40) (L 1499, off 21) 
 "replace" 2 (L 889, off 36) (L 1415, off 22) 
 "replaced" 2 (L 1304, off 5) (L 1305, off 5) 
 "represent" 2 (L 307, off 36) (L 323, off 41) 
 "reproductive" 2 (L 914, off 54) (L 1342, off 44) 
 "request" 2 (L 768, off 29) (L 1553, off 25) 
 "responsibilities" 2 (L 1301, off 49) (L 1306, off 54) 
 "responsibility" 2 (L 1280, off 40) (L 1289, off 34) 
 "rest" 2 (L 594, off 43) (L 699, off 12) 
 "rob" 2 (L 104, off 23) (L 1230, off 35) 
 "royalties" 2 (L 1422, off 0) (L 1569, off 19) 
 "rules" 2 (L 1422, off 19) (L 1428, off 26) 
 "ruling" 2 (L 779, off 9) (L 1182, off 35) 
 "sardonically" 2 (L 355, off 19) (L 621, off 51) 
 "sciences" 2 (L 1064, off 34) (L 1391, off 16) 
 "seats" 2 (L 460, off 40) (L 1083, off 36) 
 "sending" 2 (L 863, off 51) (L 1630, off 58) 
 "serious" 2 (L 242, off 15) (L 1390, off 55) 
 "shaggy" 2 (L 67, off 39) (L 124, off 15) 
 "shall" 2 (L 1650, off 10) (L 1652, off 52) 
 "shook" 2 (L 426, off 5) (L 450, off 56) 
 "shot" 2 (L 304, off 31) (L 771, off 40) 
 "shoulder" 2 (L 908, off 25) (L 908, off 49) 
 "silent" 2 (L 560, off 55) (L 1347, off 20) 
 "silently" 2 (L 521, off 35) (L 1243, off 26) 
 "since" 2 (L 263, off 38) (L 459, off 30) 
 "skilled" 2 (L 374, off 0) (L 617, off 45) 
 "sodium" 2 (L 1106, off 46) (L 1115, off 52) 
 "soft" 2 (L 202, off 19) (L 1349, off 0) 
 "softly" 2 (L 273, off 0) (L 1022, off 19) 
 "solicit" 2 (L 1724, off 35) (L 1729, off 27) 
 "somehow" 2 (L 157, off 14) (L 371, off 41) 
 "specialist" 2 (L 781, off 31) (L 1105, off 47) 
 "specified" 2 (L 1555, off 37) (L 1574, off 55) 
 "spectators" 2 (L 465, off 16) (L 1084, off 57) 
 "speculation" 2 (L 502, off 9) (L 1006, off 55) 
 "speculations" 2 (L 1008, off 3) (L 1008, off 47) 
 "square" 2 (L 294, off 37) (L 988, off 28) 
 "stability" 2 (L 1038, off 21) (L 1117, off 11) 
 "staff" 2 (L 944, off 41) (L 1736, off 59) 
 "stained" 2 (L 801, off 25) (L 804, off 13) 
 "staring" 2 (L 441, off 14) (L 1140, off 46) 
 "start" 2 (L 177, off 20) (L 1757, off 12) 
 "stayed" 2 (L 438, off 57) (L 1085, off 50) 
 "stiff" 2 (L 122, off 30) (L 441, off 65) 
 "stop" 2 (L 521, off 49) (L 690, off 54) 
 "studied" 2 (L 124, off 34) (L 941, off 3) 
 "studying" 2 (L 144, off 38) (L 513, off 48) 
 "subpoenas" 2 (L 494, off 24) (L 495, off 41) 
 "substantially" 2 (L 160, off 37) (L 259, off 25) 
 "suggest" 2 (L 510, off 3) (L 675, off 23) 
 "surgeon" 2 (L 505, off 37) (L 1097, off 49) 
 "surgery" 2 (L 333, off 44) (L 925, off 0) 
 "sweat" 2 (L 1148, off 4) (L 1192, off 30) 
 "takes" 2 (L 473, off 16) (L 1722, off 55) 
 "talk" 2 (L 367, off 48) (L 405, off 9) 
 "tantalum" 2 (L 907, off 22) (L 907, off 48) 
 "technician" 2 (L 1153, off 38) (L 1162, off 4) 
 "tension" 2 (L 79, off 14) (L 1025, off 11) 
 "thereby" 2 (L 1099, off 27) (L 1107, off 22) 
 "therefore" 2 (L 1049, off 32) (L 1272, off 45) 
 "thing" 2 (L 191, off 56) (L 572, off 18) 
 "think" 2 (L 991, off 7) (L 1229, off 24) 
 "those" 2 (L 446, off 23) (L 732, off 33) 
 "though" 2 (L 859, off 48) (L 1356, off 15) 
 "thousand" 2 (L 576, off 41) (L 1079, off 62) 
 "timing" 2 (L 109, off 4) (L 576, off 21) 
 "tip" 2 (L 284, off 23) (L 902, off 13) 
 "tomorrow" 2 (L 251, off 26) (L 1143, off 39) 
 "transcends" 2 (L 1053, off 13) (L 1351, off 57) 
 "triumph" 2 (L 340, off 17) (L 1253, off 48) 
 "two-bit" 2 (L 179, off 47) (L 206, off 10) 
 "variety" 2 (L 828, off 14) (L 1670, off 51) 
 "victim's" 2 (L 791, off 32) (L 792, off 36) 
 "viewer" 2 (L 441, off 29) (L 446, off 0) 
 "violates" 2 (L 1343, off 47) (L 1649, off 0) 
 "visit" 2 (L 1727, off 6) (L 1741, off 15) 
 "waiting" 2 (L 218, off 19) (L 459, off 0) 
 "want" 2 (L 545, off 9) (L 1387, off 23) 
 "watch" 2 (L 520, off 13) (L 922, off 31) 
 "whatsoever" 2 (L 5, off 0) (L 1510, off 15) 
 "wheezed" 2 (L 159, off 21) (L 554, off 9) 
 "while" 2 (L 493, off 4) (L 600, off 37) 
 "wide" 2 (L 117, off 17) (L 1712, off 61) 
 "widest" 2 (L 1670, off 44) (L 1715, off 62) 
 "wife" 2 (L 262, off 4) (L 1305, off 50) 
 "win" 2 (L 357, off 18) (L 359, off 7) 
 "wind" 2 (L 545, off 25) (L 1258, off 18) 
 "won't" 2 (L 230, off 14) (L 510, off 38) 
 "wonder" 2 (L 1214, off 55) (L 1295, off 3) 
 "word" 2 (L 1125, off 38) (L 1547, off 4) 
 "working" 2 (L 260, off 5) (L 299, off 51) 
 "world's" 2 (L 43, off 31) (L 1037, off 56) 
 "worlds" 2 (L 1045, off 42) (L 1390, off 36) 
 "worried" 2 (L 121, off 9) (L 135, off 9) 
 "wouldn't" 2 (L 162, off 10) (L 447, off 43) 
 "wreckage" 2 (L 854, off 4) (L 1284, off 34) 
 "wrinkled" 2 (L 138, off 40) (L 1257, off 41) 
 "year" 2 (L 436, off 6) (L 842, off 0) 
 "you'll" 2 (L 7, off 65) (L 1513, off 17) 
 "you're" 2 (L 136, off 0) (L 220, off 12) 
 "ANY" 3 (L 1623, off 21) (L 1643, off 20) (L 1644, off 56) 
 "Are" 3 (L 245, off 8) (L 487, off 52) (L 1230, off 4) 
 "Attorney's" 3 (L 298, off 46) (L 523, off 38) (L 1278, off 13) 
 "Can" 3 (L 228, off 1) (L 954, off 1) (L 1306, off 14) 
 "City" 3 (L 881, off 9) (L 1285, off 58) (L 1699, off 5) 
 "Counsel" 3 (L 757, off 0) (L 761, off 23) (L 1171, off 8) 
 "EBook" 3 (L 1, off 23) (L 17, off 32) (L 1403, off 29) 
 "Even" 3 (L 154, off 63) (L 370, off 26) (L 1289, off 1) 
 "FOR" 3 (L 1620, off 42) (L 1624, off 14) (L 1644, off 52) 
 "Foundation's" 3 (L 1690, off 21) (L 1695, off 4) (L 1700, off 45) 
 "Frank" 3 (L 1, off 59) (L 15, off 8) (L 1403, off 65) 
 "GUTENBERG" 3 (L 22, off 26) (L 1405, off 24) (L 1437, off 17) 
 "General" 3 (L 1422, off 43) (L 1447, off 11) (L 1743, off 11) 
 "Hayward's" 3 (L 748, off 6) (L 775, off 6) (L 872, off 31) 
 "IDENTITY" 3 (L 22, off 56) (L 38, off 38) (L 1405, off 54) 
 "Identity" 3 (L 1, off 46) (L 13, off 21) (L 1403, off 52) 
 "LIMITED" 3 (L 1614, off 7) (L 1628, off 7) (L 1644, off 0) 
 "People" 3 (L 439, off 52) (L 451, off 40) (L 699, off 5) 
 "Perhaps" 3 (L 860, off 33) (L 1022, off 1) (L 1356, off 40) 
 "QUESTION" 3 (L 22, off 44) (L 38, off 26) (L 1405, off 42) 
 "Question" 3 (L 1, off 34) (L 13, off 9) (L 1403, off 40) 
 "Right" 3 (L 412, off 36) (L 414, off 1) (L 1614, off 65) 
 "Riley" 3 (L 1, off 65) (L 15, off 14) (L 1403, off 71) 
 "Syndicate" 3 (L 314, off 8) (L 316, off 52) (L 395, off 30) 
 "That's" 3 (L 403, off 9) (L 975, off 1) (L 1220, off 1) 
 "Web" 3 (L 1738, off 35) (L 1757, off 25) (L 1760, off 5) 
 "Well" 3 (L 284, off 1) (L 682, off 1) (L 1214, off 41) 
 "With" 3 (L 640, off 0) (L 826, off 0) (L 1024, off 54) 
 "Yes" 3 (L 627, off 1) (L 631, off 1) (L 1328, off 64) 
 "Your" 3 (L 767, off 1) (L 961, off 1) (L 1143, off 1) 
 "accordance" 3 (L 1138, off 32) (L 1586, off 18) (L 1658, off 0) 
 "additional" 3 (L 1530, off 0) (L 1551, off 37) (L 1703, off 4) 
 "alone" 3 (L 254, off 0) (L 375, off 0) (L 1736, off 37) 
 "always" 3 (L 71, off 14) (L 150, off 15) (L 411, off 57) 
 "animal" 3 (L 993, off 29) (L 994, off 20) (L 1120, off 29) 
 "appears" 3 (L 663, off 12) (L 1058, off 41) (L 1504, off 40) 
 "applicable" 3 (L 1567, off 36) (L 1649, off 30) (L 1651, off 28) 
 "arm" 3 (L 1156, off 43) (L 1158, off 6) (L 1373, off 14) 
 "based" 3 (L 1008, off 36) (L 1479, off 40) (L 1494, off 42) 
 "became" 3 (L 266, off 44) (L 386, off 30) (L 1092, off 36) 
 "because" 3 (L 265, off 0) (L 1353, off 0) (L 1672, off 7) 
 "become" 3 (L 1131, off 39) (L 1299, off 23) (L 1329, off 31) 
 "becomes" 3 (L 1068, off 27) (L 1120, off 56) (L 1359, off 18) 
 "believe" 3 (L 484, off 7) (L 1177, off 42) (L 1317, off 10) 
 "below" 3 (L 1467, off 14) (L 1470, off 36) (L 1599, off 60) 
 "box" 3 (L 999, off 51) (L 1019, off 54) (L 1313, off 40) 
 "breath" 3 (L 159, off 52) (L 1024, off 26) (L 1164, off 45) 
 "business" 3 (L 728, off 40) (L 976, off 50) (L 1698, off 15) 
 "capable" 3 (L 920, off 0) (L 1073, off 54) (L 1387, off 42) 
 "challenge" 3 (L 289, off 52) (L 1178, off 22) (L 1314, off 32) 
 "change" 3 (L 1065, off 11) (L 1107, off 42) (L 1491, off 23) 
 "cheap" 3 (L 101, off 37) (L 208, off 0) (L 213, off 12) 
 "children" 3 (L 927, off 9) (L 927, off 56) (L 1306, off 4) 
 "client" 3 (L 185, off 19) (L 245, off 0) (L 352, off 4) 
 "coal" 3 (L 68, off 21) (L 444, off 4) (L 444, off 28) 
 "coldly" 3 (L 982, off 44) (L 998, off 3) (L 1290, off 15) 
 "complying" 3 (L 1428, off 7) (L 1466, off 13) (L 1720, off 31) 
 "concept" 3 (L 1065, off 25) (L 1425, off 0) (L 1746, off 13) 
 "conclusions" 3 (L 935, off 9) (L 1079, off 0) (L 1357, off 9) 
 "cost" 3 (L 4, off 36) (L 1509, off 38) (L 1551, off 48) 
 "couldn't" 3 (L 130, off 29) (L 226, off 5) (L 1247, off 7) 
 "counsel" 3 (L 642, off 32) (L 746, off 14) (L 1298, off 12) 
 "course" 3 (L 669, off 9) (L 761, off 4) (L 1480, off 52) 
